A_reqA,A_reqB,N_robot,reqAonRobot,reqBonRobot,S_door_opening,S_door_closing,S_reqA_driveToDoor,S_reqA_driveFwd,S_reqA_driveBack,S_reqA_driveAround,S_reqB_driveToDoor,S_reqB_driveFwd,S_reqB_driveBack,S_reqB_driveAround,S_robot_driveToDoor,S_robot_driveFwd,S_robot_driveBack,S_robot_driveAround,S_changePolicyToOpen,probA,probB,Z_robot,comm_same_room,R_robot_choosing_A_mean,R_robot_choosing_A_low,R_robot_choosing_A_up,R_robot_reachDoor_A_mean,R_robot_reachDoor_A_low,R_robot_reachDoor_A_up,R_robot_driveThru_A_mean,R_robot_driveThru_A_low,R_robot_driveThru_A_up,R_robot_driveFwd_A_mean,R_robot_driveFwd_A_low,R_robot_driveFwd_A_up,R_robot_driveBack_A_mean,R_robot_driveBack_A_low,R_robot_driveBack_A_up,R_robot_driveAround_A_mean,R_robot_driveAround_A_low,R_robot_driveAround_A_up,R_robot_delivered_mean,R_robot_delivered_low,R_robot_delivered_up,R_robot_reachDoor_R_mean,R_robot_reachDoor_R_low,R_robot_reachDoor_R_up,R_robot_driveThru_R_mean,R_robot_driveThru_R_low,R_robot_driveThru_R_up,R_robot_driveFwd_R_mean,R_robot_driveFwd_R_low,R_robot_driveFwd_R_up,R_robot_driveBack_R_mean,R_robot_driveBack_R_low,R_robot_driveBack_R_up,R_robot_driveAround_R_mean,R_robot_driveAround_R_low,R_robot_driveAround_R_up,X_robot_goFast_A_mean,X_robot_goFast_A_low,X_robot_goFast_A_up,X_robot_success_A_mean,X_robot_success_A_low,X_robot_success_A_up,X_robot_fail_A_mean,X_robot_fail_A_low,X_robot_fail_A_up,X_robot_goFast_R_mean,X_robot_goFast_R_low,X_robot_goFast_R_up,X_robot_success_R_mean,X_robot_success_R_low,X_robot_success_R_up,X_robot_fail_R_mean,X_robot_fail_R_low,X_robot_fail_R_up,N_robot_avail_mean,N_robot_avail_low,N_robot_avail_up
30,30,10,1,1,25,35,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,9.026349479816467,8.761873628956716,9.290825330676219,0.0,0.0,0.0,8.989896146042684,8.844981366082385,9.134810926002983,8.996771976570757,8.780136149357325,9.21340780378419,27.087474659411455,26.642751760618367,27.532197558204544,0.0,0.0,0.0,1.0022476529132667,0.986158106912574,1.0183371989139594,0.0,0.0,0.0,0.995369012641694,0.9779275585167762,1.0128104667666118,1.008934887732894,0.9791963682353003,1.0386734072304877,3.0086081636919513,2.9235568044031504,3.093659522980752,0.33233590477722186,0.3238810382718625,0.34124402959797784,0.22575646463120747,0.22084472649817447,0.23089165330480074,0.1089575924977585,0.10620229215728154,0.11185966713940945,0.3313901295219917,0.3235500260333572,0.3396196235132563,0.2379668898588059,0.23255851703061112,0.2436328059674724,0.09789821887185197,0.09514690811460666,0.10081338399227989,0.03289924143476508,0.03223387404764302,0.033564608821887144
30,30,10,1,1,5,55,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,10,0.1,0.0,0.0,0.0,8.937600018609235,8.741526732716567,9.133673304501903,0.0,0.0,0.0,8.93229391590022,8.68437334580807,9.18021448599237,8.935269269048824,8.790479561160875,9.080058976936773,27.167847617421142,26.61292948066291,27.722765754179374,0.0,0.0,0.0,0.997301311157838,0.9751440476895094,1.0194585746261668,0.0,0.0,0.0,1.0029859332385587,0.9833882759301028,1.0225835905470144,0.9955951930450033,0.9756569019127773,1.0155334841772292,3.02461687058356,2.9633904138878417,3.085843327279278,0.31033589186164084,0.30533503462273764,0.31550328741024786,0.2860468415199333,0.2806902336656824,0.2916118746808983,0.02483622343092053,0.02429709524864077,0.0253998199691094,0.3105161306128183,0.30147831454977986,0.3201125705300218,0.289702831208869,0.28397123325281726,0.2956705652933683,0.02024657217122751,0.019774752479909397,0.02074145714734494,3.08429313504556,3.020202700250775,3.1483835698403446
30,30,10,1,1,25,35,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,10,0.1,0.0,0.0,0.0,9.093490149827275,8.94528114210447,9.24169915755008,0.0,0.0,0.0,9.016364767656263,8.771430925569168,9.261298609743358,8.994055411171146,8.835827880173646,9.152282942168647,27.256237582659157,26.573269639372835,27.93920552594548,0.0,0.0,0.0,0.9967781562729322,0.9794693665563164,1.014086945989548,0.0,0.0,0.0,0.9909818474453973,0.966878246220421,1.0150854486703738,1.0117098618136695,0.9816596723682602,1.0417600512590788,3.009545208847279,2.95240940693924,3.0666810107553184,0.244730979717589,0.24062916970333947,0.24897505526437663,0.15501019531656832,0.15155949257808668,0.15862168998917162,0.08929423583511045,0.08753644467494114,0.09112406892263966,0.24612079453250565,0.24122332134517704,0.25122125223301867,0.17019048972870165,0.1658226987021402,0.17479460182752243,0.07449052003947264,0.07288515765479989,0.07616819431495134,2.4757114666099915,2.4066220457417504,2.5448008874782326
30,30,10,1,1,5,55,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,8.964964616697568,8.707869145044953,9.222060088350183,0.0,0.0,0.0,9.096858918094298,8.842396194005781,9.351321642182816,9.026816277787653,8.858405439210527,9.195227116364778,27.06233812359632,26.51985563127464,27.604820615917998,0.0,0.0,0.0,0.9970389999583136,0.9792600740488537,1.0148179258677734,0.0,0.0,0.0,0.9919194420842117,0.9733866015161684,1.010452282652255,0.995321355042963,0.9754562477721407,1.0151864623137854,3.005338500896864,2.9500775980094733,3.0605994037842548,0.4493390497901715,0.44196166039183543,0.45696691247052607,0.41483711707735627,0.4068229418019683,0.4231733866030989,0.03276351961737044,0.031931366859197174,0.0336402058618682,0.4478898844055495,0.4403163585893671,0.455728502045071,0.42036912412773775,0.4102366843147742,0.4310147618783595,0.02918564927012363,0.02861932591672205,0.029774838064747348,0.0454934610811815,0.04446351082702638,0.04652341133533661
30,30,10,1,1,5,55,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,9.07121371434846,8.898755215649082,9.243672213047837,0.0,0.0,0.0,9.018671404412196,8.798772274400854,9.238570534423538,8.99101641427548,8.826191516729777,9.155841311821183,27.199216691763116,26.449689996930243,27.94874338659599,0.0,0.0,0.0,1.0007148240252468,0.9822641273913435,1.0191655206591501,0.0,0.0,0.0,1.0014256435765516,0.9840694845268861,1.018781802626217,1.006953872252252,0.9905914892938289,1.0233162552106752,2.9775062309752935,2.928634799287091,3.026377662663496,0.43240710416605116,0.42581474372227035,0.4392067971281048,0.40028441037811885,0.3935869761817344,0.4072137227720102,0.032108420247310844,0.03130759178894422,0.032951293560635066,0.4332256509472043,0.42186309808446204,0.4452172290770816,0.40444292787476344,0.39609646673400284,0.4131487102924774,0.02809227693810988,0.027311093545669688,0.028919464820508743,0.43387831499554336,0.42359258914172826,0.44416404084935845
30,30,10,1,1,30,30,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,8.928303919389252,8.764962781892823,9.091645056885682,0.0,0.0,0.0,9.004502967971575,8.849300282389857,9.159705653553294,8.966798380391408,8.831087448991054,9.102509311791762,26.945512067710247,26.366366591496032,27.524657543924462,0.0,0.0,0.0,0.987857144041651,0.9703399742633962,1.0053743138199058,0.0,0.0,0.0,1.0127112403497647,0.993129735309563,1.0322927453899664,1.0016856698172845,0.984087642006369,1.0192836976282,2.999065770100707,2.9475842431259185,3.0505472970754957,0.3144202759708998,0.3088264413661012,0.3202204932989816,0.1849336528711685,0.18057964045896652,0.18950281474029937,0.12711943314255905,0.12352286774978259,0.13093171906319787,0.3134767209805927,0.3058674404311407,0.32147426350083697,0.1971457343241482,0.19158594794751954,0.20303785271572264,0.11472264589590146,0.1122072524424184,0.11735340259118104,0.03146568214979504,0.03068336737220652,0.03224799692738356
30,30,10,1,1,30,30,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,8.919806340469226,8.730748941413513,9.108863739524939,0.0,0.0,0.0,9.021669022644163,8.890824195992144,9.152513849296183,9.004525837654962,8.873575020609747,9.135476654700176,27.188285764914134,26.70197054341809,27.67460098641018,0.0,0.0,0.0,0.991416646495729,0.9643413061655692,1.0184919868258888,0.0,0.0,0.0,1.0073852525232727,0.9907080772545651,1.0240624277919803,1.0006038306462086,0.9794468498059272,1.02176081148649,3.010137376092753,2.9543644151724084,3.065910337013097,0.295777255667383,0.2895958570174988,0.30222829256712136,0.1724012839692896,0.16818884726718358,0.17683014964319835,0.12562111742872498,0.12303242764293391,0.12832108431245876,0.29584107893918055,0.2886691714688472,0.30337843405921683,0.18610717202351948,0.18205787554219663,0.19034069335602824,0.11292757559411815,0.11063094326196864,0.1153215828026813,0.2978819589457716,0.290072280561099,0.30569163733044413
30,30,10,1,1,30,30,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,10,0.1,0.0,0.0,0.0,8.99800257146185,8.836871758283335,9.159133384640365,0.0,0.0,0.0,8.96864392579204,8.7956536009793,9.141634250604781,8.954952669246655,8.804468792766611,9.105436545726699,26.960628757474257,26.482570950933585,27.43868656401493,0.0,0.0,0.0,1.0008303620389312,0.9860865427590634,1.015574181318799,0.0,0.0,0.0,1.001276024072543,0.9716732665303697,1.030878781614716,1.0090764065987257,0.9881536715753674,1.029999141622084,2.976864431642999,2.9301735807600764,3.0235552825259218,0.23101132308235725,0.22716774256335598,0.23498720555266384,0.1269066130818446,0.12445075883786996,0.12946134391558706,0.1038518693581233,0.10128276195840695,0.10655470319843764,0.23043258508844217,0.22620335993787535,0.2348229672620227,0.1441855666714573,0.1403399648669713,0.14824786098846698,0.08918038670932,0.08743050128918961,0.0910017491829829,2.30913487480533,2.248421966325524,2.3698477832851363
30,30,10,1,1,35,25,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,9.030771287981835,8.819474160658922,9.242068415304749,0.0,0.0,0.0,8.941197494357265,8.761233160735301,9.121161827979229,9.010820935491074,8.828041842235688,9.19360002874646,26.882785081370752,26.252039150166816,27.51353101257469,0.0,0.0,0.0,0.9991258657636393,0.9767314456912287,1.0215202858360497,0.0,0.0,0.0,0.9954439645502617,0.9759233474996443,1.0149645816008792,0.9969684727669452,0.976406903414529,1.0175300421193616,3.034007325465987,2.9642864518084777,3.103728199123496,0.2846272741623591,0.2782551864548481,0.29129804539921994,0.14770124099193296,0.1440800620060479,0.15150913564813892,0.14187557571091045,0.13823150593513187,0.14571697808934028,0.28627489775245457,0.2811751129567325,0.29156309348033727,0.15914633338413772,0.15483632454115578,0.16370315855475542,0.13079232662608253,0.1275204212040177,0.13423655386661842,0.02851362918848194,0.02767494017365854,0.02935231820330534
30,30,10,1,1,35,25,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,8.959176657918551,8.79259134775227,9.125761968084833,0.0,0.0,0.0,9.050093535361318,8.85909689148106,9.241090179241576,8.996880944984575,8.84085893142523,9.15290295854392,26.962970369971796,26.21029709531599,27.7156436446276,0.0,0.0,0.0,0.9979560226833776,0.9815314616564552,1.0143805837103,0.0,0.0,0.0,1.0073082976697825,0.9858118197490465,1.0288047755905183,1.0156274397562348,0.9908730106442845,1.0403818688681852,2.9965584135953502,2.9382270551786287,3.054889772012072,0.28128974160826303,0.2767659176927365,0.28596390952485673,0.1407662257723318,0.13715064217774303,0.1445775998187789,0.13749059944431816,0.1341376338808272,0.14101548696494068,0.2808061345644471,0.2745740658784474,0.2873276747496036,0.15155237870619287,0.14716087954963578,0.15621403753969113,0.1265558378478174,0.12291414514168769,0.13041991091915414,0.27946047077675773,0.2745913214633344,0.28432962009018103
